id;fecha;linea;turno;unidades_producidas;unidades_defectuosas;tiempo_parada_min;eficiencia_oee
1;1/7/2026;Linea A;Mañana;150;3;15;92
2;1/7/2026;Linea B;Mañana;135;5;25;85
3;1/7/2026;Linea C;Mañana;160;2;10;95
4;1/7/2026;Linea A;Tarde;142;6;35;81
5;1/7/2026;Linea B;Tarde;128;8;40;76
6;1/7/2026;Linea C;Tarde;155;4;12;91
7;2/7/2026;Linea A;Mañana;148;2;20;89
8;2/7/2026;Linea B;Mañana;140;4;15;88
9;2/7/2026;Linea C;Mañana;162;1;5;97
10;2/7/2026;Linea A;Tarde;139;7;45;74
11;2/7/2026;Linea B;Tarde;130;5;30;82
12;2/7/2026;Linea C;Tarde;150;3;20;88
13;3/7/2026;Linea A;Mañana;152;1;8;94
14;3/7/2026;Linea B;Mañana;144;3;12;91
15;3/7/2026;Linea C;Mañana;158;2;15;92
16;3/7/2026;Linea A;Tarde;141;4;22;86
17;3/7/2026;Linea B;Tarde;132;6;38;78
18;3/7/2026;Linea C;Tarde;149;5;25;84
19;4/7/2026;Linea A;Mañana;147;3;18;89
20;4/7/2026;Linea B;Mañana;138;4;20;87
21;4/7/2026;Linea C;Mañana;161;0;4;98
22;4/7/2026;Linea A;Tarde;145;5;15;90
23;4/7/2026;Linea B;Tarde;125;9;50;71
24;4/7/2026;Linea C;Tarde;153;2;14;92
25;5/7/2026;Linea A;Mañana;153;2;10;93
26;5/7/2026;Linea B;Mañana;141;3;15;89
27;5/7/2026;Linea C;Mañana;159;3;11;93
28;5/7/2026;Linea A;Tarde;140;6;28;83
29;5/7/2026;Linea B;Tarde;134;4;22;85
30;5/7/2026;Linea C;Tarde;151;4;18;88
31;6/7/2026;Linea A;Mañana;149;1;12;92
32;6/7/2026;Linea B;Mañana;143;5;18;87
33;6/7/2026;Linea C;Mañana;164;2;6;96
34;6/7/2026;Linea A;Tarde;138;5;32;80
35;6/7/2026;Linea B;Tarde;129;7;42;75
36;6/7/2026;Linea C;Tarde;156;3;10;92
37;7/7/2026;Linea A;Mañana;151;2;14;91
38;7/7/2026;Linea B;Mañana;139;3;21;86
39;7/7/2026;Linea C;Mañana;160;1;8;95
40;7/7/2026;Linea A;Tarde;144;4;19;88
41;7/7/2026;Linea B;Tarde;131;6;35;80
42;7/7/2026;Linea C;Tarde;152;5;16;89
43;8/7/2026;Linea A;Mañana;155;3;11;93
44;8/7/2026;Linea B;Mañana;142;4;17;88
45;8/7/2026;Linea C;Mañana;163;2;5;96
46;8/7/2026;Linea A;Tarde;143;5;24;86
47;8/7/2026;Linea B;Tarde;133;5;33;81
48;8/7/2026;Linea C;Tarde;154;4;15;90
49;9/7/2026;Linea A;Mañana;150;2;13;91
50;9/7/2026;Linea B;Mañana;145;3;12;91
